resource_id,title,subject,institution,learning_product,level,duration_raw,hours_estimate,skills_raw,skills_list,skill_count,rating,reviews
coursera_0266,Introduction to Java,Computer Science,LearnQuest,Course,beginner,1 - 4 Weeks,20,"Java, Java Programming, Software Installation, Programming Principles, Computer Programming, Object Oriented Programming (OOP), Development Environment","['Java', 'Java Programming', 'Software Installation', 'Programming Principles', 'Computer Programming', 'Object Oriented Programming (OOP)', 'Development Environment']",7,4.8,5300
coursera_0267,"Python Functions, Files, and Dictionaries",Computer Science,University of Michigan,Course,beginner,1 - 3 Months,40,"Data Import/Export, Python Programming, File Management, Functional Design, Data Structures, Algorithms, Debugging","['Data Import/Export', 'Python Programming', 'File Management', 'Functional Design', 'Data Structures', 'Algorithms', 'Debugging']",7,4.4,400
coursera_0268,Fundamentals of Java Programming,Computer Science,Board Infinity,Course,beginner,1 - 4 Weeks,20,"Eclipse (Software), Object Oriented Programming (OOP), Java Programming, Object Oriented Design, Software Development Tools, Java, Integrated Development Environments, Development Environment, Computer Programming, Programming Principles, Virtual Machines","['Eclipse (Software)', 'Object Oriented Programming (OOP)', 'Java Programming', 'Object Oriented Design', 'Software Development Tools', 'Java', 'Integrated Development Environments', 'Development Environment', 'Computer Programming', 'Programming Principles', 'Virtual Machines']",11,4.7,370
coursera_0269,"Introduction to Software, Programming, and Databases ",Computer Science,IBM,Course,beginner,1 - 3 Months,40,"Computing Platforms, Software Development Life Cycle, Application Development, Programming Principles, Databases, Database Management, Web Applications, Software Installation, Browser Compatibility, Cloud Computing, Information Technology, Software Versioning, Computer Programming","['Computing Platforms', 'Software Development Life Cycle', 'Application Development', 'Programming Principles', 'Databases', 'Database Management', 'Web Applications', 'Software Installation', 'Browser Compatibility', 'Cloud Computing', 'Information Technology', 'Software Versioning', 'Computer Programming']",13,4.6,280
coursera_0270,"DevOps on AWS: Code, Build, and Test",Computer Science,Amazon Web Services,Course,intermediate,1 - 4 Weeks,20,"Continuous Integration, DevOps, CI/CD, Development Environment, Continuous Deployment, Test Automation, Git (Version Control System), Application Deployment, Version Control, Amazon Web Services, Software Testing","['Continuous Integration', 'DevOps', 'CI/CD', 'Development Environment', 'Continuous Deployment', 'Test Automation', 'Git (Version Control System)', 'Application Deployment', 'Version Control', 'Amazon Web Services', 'Software Testing']",11,4.7,213
coursera_0271,Become a Professional React Developer,Computer Science,Scrimba,Specialization,intermediate,3 - 6 Months,100,"React.js, Unit Testing, Test Driven Development (TDD), Debugging, Development Testing, Application Programming Interface (API), Jest (JavaScript Testing Framework), Web Content Accessibility Guidelines, UI Components, Performance Tuning, Routing Protocols, Restful API, Front-End Web Development, User Interface (UI), JavaScript Frameworks, Web Development Tools, Software Design Patterns, Authentications, Javascript, User Interface and User Experience (UI/UX) Design","['React.js', 'Unit Testing', 'Test Driven Development (TDD)', 'Debugging', 'Development Testing', 'Application Programming Interface (API)', 'Jest (JavaScript Testing Framework)', 'Web Content Accessibility Guidelines', 'UI Components', 'Performance Tuning', 'Routing Protocols', 'Restful API', 'Front-End Web Development', 'User Interface (UI)', 'JavaScript Frameworks', 'Web Development Tools', 'Software Design Patterns', 'Authentications', 'Javascript', 'User Interface and User Experience (UI/UX) Design']",20,4.8,344
coursera_0272,React Native,Computer Science,Meta,Course,intermediate,1 - 3 Months,40,"React Native, Mobile Development, Cross Platform Development, UI Components, Mobile Development Tools, iOS Development, React.js, Front-End Web Development, Android Development, JavaScript Frameworks, User Interface (UI), Development Environment","['React Native', 'Mobile Development', 'Cross Platform Development', 'UI Components', 'Mobile Development Tools', 'iOS Development', 'React.js', 'Front-End Web Development', 'Android Development', 'JavaScript Frameworks', 'User Interface (UI)', 'Development Environment']",12,4.1,217
coursera_0273,Blockchain,Computer Science,"University of California, Irvine",Specialization,beginner,3 - 6 Months,100,"Blockchain, Cryptography, Encryption, FinTech, Data Sharing, Public Key Infrastructure, Transaction Processing, Key Management, Distributed Computing, Payment Systems, Data Integrity, Network Model, Emerging Technologies, Digital Assets, Authentications, Software Systems, Computer Systems, Systems Architecture, Scalability, Software Architecture","['Blockchain', 'Cryptography', 'Encryption', 'FinTech', 'Data Sharing', 'Public Key Infrastructure', 'Transaction Processing', 'Key Management', 'Distributed Computing', 'Payment Systems', 'Data Integrity', 'Network Model', 'Emerging Technologies', 'Digital Assets', 'Authentications', 'Software Systems', 'Computer Systems', 'Systems Architecture', 'Scalability', 'Software Architecture']",20,4.8,1300
coursera_0274,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Computer Science,Stanford University,Course,intermediate,1 - 4 Weeks,20,"Algorithms, Bioinformatics, Graph Theory, Computational Thinking, Data Structures, Theoretical Computer Science, Computer Science","['Algorithms', 'Bioinformatics', 'Graph Theory', 'Computational Thinking', 'Data Structures', 'Theoretical Computer Science', 'Computer Science']",7,4.7,1300
coursera_0275,Managing an Agile Team,Computer Science,University of Virginia,Course,mixed,1 - 4 Weeks,20,"Agile Methodology, Agile Project Management, Team Management, Team Leadership, Sprint Retrospectives, Kanban Principles, User Story, Lean Methodologies, Selling Techniques, Discussion Facilitation, Goal Setting, Performance Measurement","['Agile Methodology', 'Agile Project Management', 'Team Management', 'Team Leadership', 'Sprint Retrospectives', 'Kanban Principles', 'User Story', 'Lean Methodologies', 'Selling Techniques', 'Discussion Facilitation', 'Goal Setting', 'Performance Measurement']",12,4.3,87
